"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 16 22:18:26 MSK 2025","Tue Sep 16 22:22:01 MSK 2025","215532","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingReadmissionWithChat","addingReadmissionWithChat()","Добавление повторной консультации в чате"
"broken","Tue Sep 16 16:21:06 MSK 2025","Tue Sep 16 16:24:28 MSK 2025","202195","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","analyzesTests","analyzesTests()","Добавить, редактировать, удалить анализы"
"skipped","Tue Sep 16 17:09:17 MSK 2025","Tue Sep 16 17:09:17 MSK 2025","0","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","questionnaireDoesNotOpenForChildPatientOnline","questionnaireDoesNotOpenForChildPatientOnline()","Опросник не открывается для пациента-ребенка при регистрации на онлайн-консультацию"
"broken","Tue Sep 16 16:16:40 MSK 2025","Tue Sep 16 16:21:06 MSK 2025","265675","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","medicineTests","medicineTests()","Добавить и удалить медикамент"
"broken","Tue Sep 16 16:03:10 MSK 2025","Tue Sep 16 16:07:46 MSK 2025","276298","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","vaccinationTests","vaccinationTests()","Добавить и удалить вакцинацию"
"skipped","Tue Sep 16 21:42:09 MSK 2025","Tue Sep 16 21:42:09 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup50","checkup50()","Checkup 50 y.o. user"
"passed","Tue Sep 16 21:04:51 MSK 2025","Tue Sep 16 21:10:03 MSK 2025","312382","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","editConclusionRemoveAllFiles","editConclusionRemoveAllFiles()","Редактирование заключения - удаление всех файлов"
"broken","Tue Sep 16 15:47:07 MSK 2025","Tue Sep 16 15:52:24 MSK 2025","317048","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","doctorConclusionTests","doctorConclusionTests()","Добавить, редактировать, удалить заключение врача"
"broken","Tue Sep 16 16:12:30 MSK 2025","Tue Sep 16 16:16:40 MSK 2025","250512","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","injuryTests","injuryTests()","Добавить и удалить травму"
"broken","Tue Sep 16 21:18:43 MSK 2025","Tue Sep 16 21:21:36 MSK 2025","173297","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","fullConclusionCycle","fullConclusionCycle()","Тестирование заключения: создание -> просмотр -> редактирование"
"broken","Tue Sep 16 21:34:57 MSK 2025","Tue Sep 16 21:42:07 MSK 2025","429808","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","editConclusionRemovePartialFiles","editConclusionRemovePartialFiles()","Редактирование заключения - удаление части файлов"
"broken","Tue Sep 16 16:56:29 MSK 2025","Tue Sep 16 17:01:06 MSK 2025","276728","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","goBackToSymptomsSelectionPage","goBackToSymptomsSelectionPage()","Пропустить выбор симптомов, затем вернуться на страницу выбора симптомов"
"broken","Tue Sep 16 21:21:36 MSK 2025","Tue Sep 16 21:29:12 MSK 2025","455894","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","checkTimelineDisplay","checkTimelineDisplay()","Проверка отображения записи в таймлайне"
"skipped","Tue Sep 16 21:42:09 MSK 2025","Tue Sep 16 21:42:09 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup28","checkup28()","Checkup 28 y.o. user"
"passed","Tue Sep 16 17:23:02 MSK 2025","Tue Sep 16 17:29:26 MSK 2025","384416","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","delete","delete()","Удаление аккаунта"
"passed","Tue Sep 16 19:51:59 MSK 2025","Tue Sep 16 19:57:30 MSK 2025","330224","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","addToCalendar","addToCalendar()","Добавление данных о приеме в календарь"
"broken","Tue Sep 16 16:39:14 MSK 2025","Tue Sep 16 16:41:35 MSK 2025","141089","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","chooseEnrollToAnotherDoctorOptionAfterQuestionnaire","chooseEnrollToAnotherDoctorOptionAfterQuestionnaire()","Выбрать вариант записи к другому врачу после прохождения опросника"
"broken","Tue Sep 16 18:03:17 MSK 2025","Tue Sep 16 18:09:33 MSK 2025","375214","","MobileTesting.tests.EdnaChatTest","","MobileTesting.tests.EdnaChatTest","ednaChatComprehensiveTest","ednaChatComprehensiveTest()","Автоматизация тест кейса: Проверка работы с чатом Edna - выбор различных тем и отправка сообщений"
"broken","Tue Sep 16 16:07:46 MSK 2025","Tue Sep 16 16:12:30 MSK 2025","283626","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","diseaseTests","diseaseTests()","Добавить и удалить заболевание"
"broken","Tue Sep 16 16:45:41 MSK 2025","Tue Sep 16 16:47:12 MSK 2025","91806","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","refuseOfflineConsultationQuestionnaireForAdult","refuseOfflineConsultationQuestionnaireForAdult()","Отмена опросника для оффлайн-консультации"
"broken","Tue Sep 16 21:54:22 MSK 2025","Tue Sep 16 21:57:37 MSK 2025","195326","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingDecipheringAnalyzes","addingDecipheringAnalyzes()","Добавление расшифровки анализов заочно"
"broken","Tue Sep 16 17:42:13 MSK 2025","Tue Sep 16 17:46:59 MSK 2025","285515","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","addInsuranceAM","addInsuranceAM()","Добавление обязательного медицинского страхования для взрослого"
"broken","Tue Sep 16 22:04:54 MSK 2025","Tue Sep 16 22:08:32 MSK 2025","217896","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingAnotherDoctorOpinion","addingAnotherDoctorOpinion()","Добавление консультации для получения второго врачебного мнения"
"broken","Tue Sep 16 20:04:14 MSK 2025","Tue Sep 16 20:10:58 MSK 2025","403961","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","addConclusionMT","addConclusionMT()","Добавление заключения"
"broken","Tue Sep 16 22:10:57 MSK 2025","Tue Sep 16 22:14:48 MSK 2025","230551","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingDecipheringAnalyzesWithVideo","addingDecipheringAnalyzesWithVideo()","Добавление расшифровки анализов очно с видеосвязью"
"broken","Tue Sep 16 17:01:06 MSK 2025","Tue Sep 16 17:05:13 MSK 2025","246428","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","symptomsPageOpensAfterAcceptingQuestionnaire","symptomsPageOpensAfterAcceptingQuestionnaire()","Страница выбора симптомов открывается после принятия опросника"
"broken","Tue Sep 16 18:15:00 MSK 2025","Tue Sep 16 18:21:11 MSK 2025","370586","","MobileTesting.tests.EdnaChatTest","","MobileTesting.tests.EdnaChatTest","ednaChatTests","ednaChatTests()","Edna chat test"
"broken","Tue Sep 16 16:51:52 MSK 2025","Tue Sep 16 16:56:29 MSK 2025","277858","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","chooseEnrollToSpecifiedDoctorOptionAfterQuestionnaire","chooseEnrollToSpecifiedDoctorOptionAfterQuestionnaire()","Выбрать опцию записи к конкретному врачу после прохождения опросника"
"broken","Tue Sep 16 17:09:17 MSK 2025","Tue Sep 16 17:14:03 MSK 2025","285647","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","exitOfflineConsultationQuestionnaireAfterAccepting","exitOfflineConsultationQuestionnaireAfterAccepting()","Отмена опросника для оффлайн-консультации"
"broken","Tue Sep 16 21:42:10 MSK 2025","Tue Sep 16 21:45:48 MSK 2025","217576","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingOnlineConsultationWithChat","addingOnlineConsultationWithChat()","Добавление онлайн-консультации с чатом"
"broken","Tue Sep 16 22:14:48 MSK 2025","Tue Sep 16 22:18:26 MSK 2025","217846","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingDecipheringAnalyzesWithChat","addingDecipheringAnalyzesWithChat()","Добавление расшифровки анализов очно в чате"
"broken","Tue Sep 16 16:32:48 MSK 2025","Tue Sep 16 16:35:12 MSK 2025","144002","","MobileTesting.tests.SmokeTest","","MobileTesting.tests.SmokeTest","geolocation","geolocation()","Проверка местоположения (доступ разрешен, Мои данные -> Полис подробно -> Список клиник)"
"broken","Tue Sep 16 17:58:34 MSK 2025","Tue Sep 16 18:03:17 MSK 2025","283546","","MobileTesting.tests.EdnaChatTest","","MobileTesting.tests.EdnaChatTest","ednaChatTestsSimplified","ednaChatTestsSimplified()","Edna chat test"
"broken","Tue Sep 16 16:47:13 MSK 2025","Tue Sep 16 16:51:52 MSK 2025","279076","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","chooseEnrollToClinicOptionAfterQuestionnaire","chooseEnrollToClinicOptionAfterQuestionnaire()","Выбрать опцию записи в клинику после заполнения опросника"
"broken","Tue Sep 16 17:17:59 MSK 2025","Tue Sep 16 17:23:02 MSK 2025","302815","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","registration","registration()","Регистрация пользователя"
"passed","Tue Sep 16 18:26:33 MSK 2025","Tue Sep 16 18:31:58 MSK 2025","325635","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","editConclusionRemoveOptionalFields","editConclusionRemoveOptionalFields()","Редактирование заключения - удаление необязательных полей"
"broken","Tue Sep 16 17:29:26 MSK 2025","Tue Sep 16 17:33:44 MSK 2025","257758","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","changePassword","changePassword()","Смена пароля пользователя"
"broken","Tue Sep 16 16:35:15 MSK 2025","Tue Sep 16 16:39:14 MSK 2025","239402","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","exitFromQuestionnaire","exitFromQuestionnaire()","Выход во время заполнения опросника"
"broken","Tue Sep 16 17:14:03 MSK 2025","Tue Sep 16 17:17:57 MSK 2025","234438","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","specializationDeterminedForOnlineConsultation","specializationDeterminedForOnlineConsultation()","Специализация определяется для онлайн-консультации"
"broken","Tue Sep 16 21:57:37 MSK 2025","Tue Sep 16 22:01:13 MSK 2025","216011","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingReadmissionWithAudio","addingReadmissionWithAudio()","Добавление повторного приёма с аудиоконсультацией"
"broken","Tue Sep 16 22:01:13 MSK 2025","Tue Sep 16 22:04:54 MSK 2025","221049","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingReadmissionWithVideo","addingReadmissionWithVideo()","Добавление повторного приёма с видеоконсультацией"
"broken","Tue Sep 16 16:35:14 MSK 2025","Tue Sep 16 16:35:14 MSK 2025","0","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","","BuySectionTest",""
"broken","Tue Sep 16 21:29:12 MSK 2025","Tue Sep 16 21:34:57 MSK 2025","345017","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","viewConclusionMT","viewConclusionMT()","Просмотр заключения"
"broken","Tue Sep 16 16:41:35 MSK 2025","Tue Sep 16 16:43:11 MSK 2025","96007","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","needDayOffsFromOfflineConsultationQuestionnaire","needDayOffsFromOfflineConsultationQuestionnaire()","Отмена опросника для оффлайн-консультации"
"skipped","Tue Sep 16 21:42:09 MSK 2025","Tue Sep 16 21:42:09 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup40","checkup40()","Checkup 40 y.o. user"
